,Instant,Date,Season,Month,Hour,Holiday?,Day of Week,Workday?,Weather Situation,Temperature,Feeling Temperature,Casual Users,Registered User,Total Users,Casual_Ratio,Average_temperature,Wind Speed
77,78,2011-01-04,Winter,January,9,False,Tuesday,True,Sunny,6.5600000000000005,7.575,2,98,100,0.02,0.15575,15.001299999999999
78,79,2011-01-04,Winter,January,10,False,Tuesday,True,Cloudy,6.5600000000000005,6.819999999999999,5,37,42,0.11904761904761904,0.1482,22.0028
79,80,2011-01-04,Winter,January,11,False,Tuesday,True,Sunny,9.02,10.605,7,50,57,0.12280701754385964,0.21605000000000002,19.999499999999998
80,81,2011-01-04,Winter,January,12,False,Tuesday,True,Sunny,9.02,11.365,12,66,78,0.15384615384615385,0.22365000000000002,11.0014
81,82,2011-01-04,Winter,January,13,False,Tuesday,True,Sunny,9.84,11.365,18,79,97,0.18556701030927836,0.23365,12.998
82,83,2011-01-04,Winter,January,14,False,Tuesday,True,Sunny,10.66,12.879999999999999,9,54,63,0.14285714285714285,0.25880000000000003,15.001299999999999
83,84,2011-01-04,Winter,January,15,False,Tuesday,True,Sunny,11.48,13.635,17,48,65,0.26153846153846155,0.27635,16.997899999999998
84,85,2011-01-04,Winter,January,16,False,Tuesday,True,Sunny,12.299999999999999,14.395,15,68,83,0.18072289156626506,0.29395,16.997899999999998
85,86,2011-01-04,Winter,January,17,False,Tuesday,True,Sunny,11.48,13.635,10,202,212,0.04716981132075472,0.27635,15.001299999999999
86,87,2011-01-04,Winter,January,18,False,Tuesday,True,Sunny,10.66,12.879999999999999,3,179,182,0.016483516483516484,0.25880000000000003,12.998
87,88,2011-01-04,Winter,January,19,False,Tuesday,True,Sunny,9.84,12.879999999999999,2,110,112,0.017857142857142856,0.2488,7.0015
88,89,2011-01-04,Winter,January,20,False,Tuesday,True,Sunny,9.84,12.879999999999999,1,53,54,0.018518518518518517,0.2488,7.0015
89,90,2011-01-04,Winter,January,21,False,Tuesday,True,Sunny,9.02,13.635,0,48,48,0.0,0.24635,0.0
90,91,2011-01-04,Winter,January,22,False,Tuesday,True,Sunny,9.02,12.879999999999999,1,34,35,0.02857142857142857,0.2388,6.0032
91,92,2011-01-04,Winter,January,23,False,Tuesday,True,Sunny,8.200000000000001,11.365,2,9,11,0.18181818181818182,0.21365,6.0032
92,93,2011-01-05,Winter,January,0,False,Wednesday,True,Sunny,8.200000000000001,12.879999999999999,0,6,6,0.0,0.2288,0.0
93,94,2011-01-05,Winter,January,1,False,Wednesday,True,Sunny,6.5600000000000005,9.85,0,6,6,0.0,0.1785,6.0032
94,95,2011-01-05,Winter,January,2,False,Wednesday,True,Sunny,6.5600000000000005,9.85,0,2,2,0.0,0.1785,6.0032
95,96,2011-01-05,Winter,January,4,False,Wednesday,True,Sunny,9.84,11.365,0,2,2,0.0,0.23365,15.001299999999999
96,97,2011-01-05,Winter,January,5,False,Wednesday,True,Sunny,9.02,11.365,0,3,3,0.0,0.22365000000000002,11.0014
97,98,2011-01-05,Winter,January,6,False,Wednesday,True,Sunny,8.200000000000001,9.85,0,33,33,0.0,0.1985,15.001299999999999
98,99,2011-01-05,Winter,January,7,False,Wednesday,True,Sunny,7.38,9.09,1,87,88,0.011363636363636364,0.1809,12.998
99,100,2011-01-05,Winter,January,8,False,Wednesday,True,Sunny,8.200000000000001,9.09,3,192,195,0.015384615384615385,0.19090000000000001,19.999499999999998
100,101,2011-01-05,Winter,January,9,False,Wednesday,True,Sunny,9.02,9.85,6,109,115,0.05217391304347826,0.2085,22.0028
101,102,2011-01-05,Winter,January,10,False,Wednesday,True,Sunny,9.02,9.85,4,53,57,0.07017543859649122,0.2085,22.0028
102,103,2011-01-05,Winter,January,11,False,Wednesday,True,Sunny,10.66,11.365,12,34,46,0.2608695652173913,0.24365,22.0028
103,104,2011-01-05,Winter,January,12,False,Wednesday,True,Sunny,10.66,11.365,5,74,79,0.06329113924050633,0.24365,22.0028
104,105,2011-01-05,Winter,January,13,False,Wednesday,True,Sunny,11.48,12.879999999999999,6,65,71,0.08450704225352113,0.26880000000000004,19.999499999999998
105,106,2011-01-05,Winter,January,14,False,Wednesday,True,Sunny,12.299999999999999,14.395,10,52,62,0.16129032258064516,0.29395,12.998
106,107,2011-01-05,Winter,January,15,False,Wednesday,True,Sunny,12.299999999999999,14.395,7,55,62,0.11290322580645161,0.29395,12.998
107,108,2011-01-05,Winter,January,16,False,Wednesday,True,Sunny,12.299999999999999,15.909999999999998,4,85,89,0.0449438202247191,0.3091,6.0032
108,109,2011-01-05,Winter,January,17,False,Wednesday,True,Sunny,9.84,11.365,4,186,190,0.021052631578947368,0.23365,12.998
109,110,2011-01-05,Winter,January,18,False,Wednesday,True,Sunny,9.84,12.120000000000001,3,166,169,0.01775147928994083,0.2412,8.9981
110,111,2011-01-05,Winter,January,19,False,Wednesday,True,Sunny,9.84,12.879999999999999,5,127,132,0.03787878787878788,0.2488,7.0015
111,112,2011-01-05,Winter,January,20,False,Wednesday,True,Sunny,9.02,11.365,7,82,89,0.07865168539325842,0.22365000000000002,11.0014
112,113,2011-01-05,Winter,January,21,False,Wednesday,True,Sunny,8.200000000000001,9.85,3,40,43,0.06976744186046512,0.1985,12.998
113,114,2011-01-05,Winter,January,22,False,Wednesday,True,Sunny,7.38,9.85,1,41,42,0.023809523809523808,0.1885,8.9981
114,115,2011-01-05,Winter,January,23,False,Wednesday,True,Sunny,8.200000000000001,12.879999999999999,1,18,19,0.05263157894736842,0.2288,0.0
115,116,2011-01-06,Winter,January,0,False,Thursday,True,Sunny,7.38,12.120000000000001,0,11,11,0.0,0.2112,0.0
116,117,2011-01-06,Winter,January,1,False,Thursday,True,Sunny,6.5600000000000005,11.365,0,4,4,0.0,0.19365,0.0
117,118,2011-01-06,Winter,January,2,False,Thursday,True,Sunny,6.5600000000000005,11.365,0,2,2,0.0,0.19365,0.0
118,119,2011-01-06,Winter,January,4,False,Thursday,True,Cloudy,6.5600000000000005,9.85,0,1,1,0.0,0.1785,6.0032
119,120,2011-01-06,Winter,January,5,False,Thursday,True,Cloudy,5.74,9.09,0,4,4,0.0,0.1609,6.0032
120,121,2011-01-06,Winter,January,6,False,Thursday,True,Cloudy,5.74,8.334999999999999,0,36,36,0.0,0.15335,7.0015
121,122,2011-01-06,Winter,January,7,False,Thursday,True,Cloudy,6.5600000000000005,11.365,0,95,95,0.0,0.19365,0.0
122,123,2011-01-06,Winter,January,8,False,Thursday,True,Sunny,6.5600000000000005,11.365,3,216,219,0.0136986301369863,0.19365,0.0
123,124,2011-01-06,Winter,January,9,False,Thursday,True,Cloudy,7.38,12.120000000000001,6,116,122,0.04918032786885246,0.2112,0.0
124,125,2011-01-06,Winter,January,10,False,Thursday,True,Sunny,8.200000000000001,12.879999999999999,3,42,45,0.06666666666666667,0.2288,0.0
125,126,2011-01-06,Winter,January,11,False,Thursday,True,Sunny,9.02,12.879999999999999,2,57,59,0.03389830508474576,0.2388,6.0032
126,127,2011-01-06,Winter,January,12,False,Thursday,True,Sunny,10.66,14.395,6,78,84,0.07142857142857142,0.27395,0.0
127,128,2011-01-06,Winter,January,13,False,Thursday,True,Sunny,10.66,13.635,12,55,67,0.1791044776119403,0.26635,7.0015
128,129,2011-01-06,Winter,January,14,False,Thursday,True,Sunny,11.48,13.635,11,59,70,0.15714285714285714,0.27635,11.0014
129,130,2011-01-06,Winter,January,15,False,Thursday,True,Sunny,11.48,13.635,8,54,62,0.12903225806451613,0.27635,0.0
130,131,2011-01-06,Winter,January,16,False,Thursday,True,Sunny,10.66,12.879999999999999,12,74,86,0.13953488372093023,0.25880000000000003,11.0014
131,132,2011-01-06,Winter,January,17,False,Thursday,True,Sunny,9.02,11.365,9,163,172,0.05232558139534884,0.22365000000000002,11.0014
132,133,2011-01-06,Winter,January,18,False,Thursday,True,Sunny,9.02,11.365,5,158,163,0.03067484662576687,0.22365000000000002,8.9981
133,134,2011-01-06,Winter,January,19,False,Thursday,True,Sunny,9.02,12.879999999999999,3,109,112,0.026785714285714284,0.2388,6.0032
134,135,2011-01-06,Winter,January,20,False,Thursday,True,Sunny,8.200000000000001,10.605,3,66,69,0.043478260869565216,0.20605,11.0014
135,136,2011-01-06,Winter,January,21,False,Thursday,True,Cloudy,9.02,10.605,0,48,48,0.0,0.21605000000000002,15.001299999999999
136,137,2011-01-06,Winter,January,22,False,Thursday,True,Cloudy,9.02,10.605,1,51,52,0.019230769230769232,0.21605000000000002,19.0012
137,138,2011-01-06,Winter,January,23,False,Thursday,True,Cloudy,8.200000000000001,9.85,4,19,23,0.17391304347826086,0.1985,12.998
138,139,2011-01-07,Winter,January,0,False,Friday,True,Cloudy,8.200000000000001,9.85,4,13,17,0.23529411764705882,0.1985,12.998
139,140,2011-01-07,Winter,January,1,False,Friday,True,Cloudy,8.200000000000001,9.85,2,5,7,0.2857142857142857,0.1985,15.001299999999999
140,141,2011-01-07,Winter,January,2,False,Friday,True,Cloudy,8.200000000000001,9.85,0,1,1,0.0,0.1985,15.001299999999999
141,142,2011-01-07,Winter,January,4,False,Friday,True,Cloudy,8.200000000000001,10.605,0,1,1,0.0,0.20605,8.9981
142,143,2011-01-07,Winter,January,5,False,Friday,True,Light Precipitation,9.02,13.635,0,5,5,0.0,0.24635,0.0
143,144,2011-01-07,Winter,January,6,False,Friday,True,Cloudy,8.200000000000001,12.879999999999999,8,26,34,0.23529411764705882,0.2288,0.0
144,145,2011-01-07,Winter,January,7,False,Friday,True,Sunny,8.200000000000001,10.605,8,76,84,0.09523809523809523,0.20605,8.9981
145,146,2011-01-07,Winter,January,8,False,Friday,True,Sunny,8.200000000000001,9.85,20,190,210,0.09523809523809523,0.1985,16.997899999999998
146,147,2011-01-07,Winter,January,9,False,Friday,True,Sunny,8.200000000000001,9.09,9,125,134,0.06716417910447761,0.19090000000000001,19.999499999999998
147,148,2011-01-07,Winter,January,10,False,Friday,True,Sunny,9.02,9.85,16,47,63,0.25396825396825395,0.2085,22.0028
148,149,2011-01-07,Winter,January,11,False,Friday,True,Cloudy,8.200000000000001,9.85,19,48,67,0.2835820895522388,0.1985,15.001299999999999
149,150,2011-01-07,Winter,January,12,False,Friday,True,Cloudy,8.200000000000001,9.85,9,50,59,0.15254237288135594,0.1985,16.997899999999998
150,151,2011-01-07,Winter,January,13,False,Friday,True,Cloudy,8.200000000000001,9.09,9,64,73,0.1232876712328767,0.19090000000000001,19.0012
151,152,2011-01-07,Winter,January,14,False,Friday,True,Cloudy,8.200000000000001,9.85,7,43,50,0.14,0.1985,16.997899999999998
152,153,2011-01-07,Winter,January,15,False,Friday,True,Cloudy,8.200000000000001,10.605,9,63,72,0.125,0.20605,11.0014
153,154,2011-01-07,Winter,January,16,False,Friday,True,Cloudy,8.200000000000001,10.605,5,82,87,0.05747126436781609,0.20605,11.0014
154,155,2011-01-07,Winter,January,17,False,Friday,True,Cloudy,8.200000000000001,12.879999999999999,9,178,187,0.0481283422459893,0.2288,0.0
155,156,2011-01-07,Winter,January,18,False,Friday,True,Sunny,8.200000000000001,11.365,7,116,123,0.056910569105691054,0.21365,6.0032
156,157,2011-01-07,Winter,January,19,False,Friday,True,Sunny,6.5600000000000005,9.85,3,92,95,0.031578947368421054,0.1785,6.0032
157,158,2011-01-07,Winter,January,20,False,Friday,True,Sunny,7.38,10.605,1,50,51,0.0196078431372549,0.19605,7.0015
158,159,2011-01-07,Winter,January,21,False,Friday,True,Sunny,7.38,9.85,0,39,39,0.0,0.1885,8.9981
159,160,2011-01-07,Winter,January,22,False,Friday,True,Cloudy,7.38,9.85,2,34,36,0.05555555555555555,0.1885,11.0014
160,161,2011-01-07,Winter,January,23,False,Friday,True,Cloudy,7.38,9.85,1,14,15,0.06666666666666667,0.1885,11.0014
161,162,2011-01-08,Winter,January,0,False,Saturday,False,Cloudy,7.38,9.85,1,24,25,0.04,0.1885,11.0014
162,163,2011-01-08,Winter,January,1,False,Saturday,False,Cloudy,7.38,10.605,1,15,16,0.0625,0.19605,6.0032
163,164,2011-01-08,Winter,January,2,False,Saturday,False,Cloudy,7.38,12.120000000000001,3,13,16,0.1875,0.2112,0.0
164,165,2011-01-08,Winter,January,3,False,Saturday,False,Light Precipitation,7.38,9.85,0,7,7,0.0,0.1885,11.0014
165,166,2011-01-08,Winter,January,4,False,Saturday,False,Light Precipitation,7.38,9.85,0,1,1,0.0,0.1885,11.0014
166,167,2011-01-08,Winter,January,5,False,Saturday,False,Cloudy,6.5600000000000005,8.334999999999999,0,5,5,0.0,0.16335,11.0014
167,168,2011-01-08,Winter,January,6,False,Saturday,False,Cloudy,6.5600000000000005,8.334999999999999,0,2,2,0.0,0.16335,11.0014
168,169,2011-01-08,Winter,January,7,False,Saturday,False,Cloudy,6.5600000000000005,9.09,1,8,9,0.1111111111111111,0.1709,7.0015
169,170,2011-01-08,Winter,January,8,False,Saturday,False,Light Precipitation,6.5600000000000005,9.09,0,15,15,0.0,0.1709,7.0015
170,171,2011-01-08,Winter,January,9,False,Saturday,False,Light Precipitation,6.5600000000000005,9.09,0,20,20,0.0,0.1709,7.0015
171,172,2011-01-08,Winter,January,10,False,Saturday,False,Cloudy,7.38,9.85,5,56,61,0.08196721311475409,0.1885,11.0014
172,173,2011-01-08,Winter,January,11,False,Saturday,False,Cloudy,8.200000000000001,9.09,2,60,62,0.03225806451612903,0.19090000000000001,26.0027
173,174,2011-01-08,Winter,January,12,False,Saturday,False,Cloudy,8.200000000000001,9.09,8,90,98,0.08163265306122448,0.19090000000000001,23.9994
174,175,2011-01-08,Winter,January,13,False,Saturday,False,Sunny,8.200000000000001,9.09,7,95,102,0.06862745098039216,0.19090000000000001,22.0028
175,176,2011-01-08,Winter,January,14,False,Saturday,False,Sunny,8.200000000000001,8.334999999999999,12,83,95,0.12631578947368421,0.18335,32.9975
176,177,2011-01-08,Winter,January,15,False,Saturday,False,Sunny,8.200000000000001,8.334999999999999,5,69,74,0.06756756756756757,0.18335,30.002599999999997
177,178,2011-01-08,Winter,January,16,False,Saturday,False,Sunny,7.38,6.819999999999999,8,68,76,0.10526315789473684,0.1582,30.002599999999997
178,179,2011-01-08,Winter,January,17,False,Saturday,False,Sunny,6.5600000000000005,6.0600000000000005,5,64,69,0.07246376811594203,0.1406,36.9974
179,180,2011-01-08,Winter,January,18,False,Saturday,False,Sunny,5.74,6.0600000000000005,3,52,55,0.05454545454545454,0.1306,19.999499999999998
180,181,2011-01-08,Winter,January,19,False,Saturday,False,Sunny,5.74,6.0600000000000005,4,26,30,0.13333333333333333,0.1306,16.997899999999998
181,182,2011-01-08,Winter,January,20,False,Saturday,False,Sunny,4.92,6.0600000000000005,0,28,28,0.0,0.1206,16.997899999999998
182,183,2011-01-08,Winter,January,21,False,Saturday,False,Sunny,4.92,5.305,2,35,37,0.05405405405405406,0.11305,23.9994
183,184,2011-01-08,Winter,January,22,False,Saturday,False,Sunny,4.92,5.305,1,33,34,0.029411764705882353,0.11305,26.0027
184,185,2011-01-08,Winter,January,23,False,Saturday,False,Sunny,4.1000000000000005,3.0300000000000002,0,22,22,0.0,0.08030000000000001,30.002599999999997
185,186,2011-01-09,Winter,January,0,False,Sunday,False,Sunny,4.1000000000000005,3.7900000000000005,1,24,25,0.04,0.0879,26.0027
186,187,2011-01-09,Winter,January,1,False,Sunday,False,Sunny,4.1000000000000005,3.0300000000000002,0,12,12,0.0,0.08030000000000001,31.0009
187,188,2011-01-09,Winter,January,2,False,Sunday,False,Sunny,4.1000000000000005,3.0300000000000002,0,11,11,0.0,0.08030000000000001,31.0009
188,189,2011-01-09,Winter,January,3,False,Sunday,False,Sunny,4.1000000000000005,3.7900000000000005,0,4,4,0.0,0.0879,27.999299999999998
189,190,2011-01-09,Winter,January,4,False,Sunday,False,Sunny,3.2800000000000002,4.545,0,1,1,0.0,0.08545,12.998
190,191,2011-01-09,Winter,January,5,False,Sunday,False,Sunny,3.2800000000000002,4.545,0,1,1,0.0,0.08545,12.998
191,192,2011-01-09,Winter,January,6,False,Sunday,False,Sunny,4.1000000000000005,4.545,0,1,1,0.0,0.09545000000000001,19.0012
192,193,2011-01-09,Winter,January,7,False,Sunday,False,Sunny,3.2800000000000002,4.545,1,5,6,0.16666666666666666,0.08545,12.998
193,194,2011-01-09,Winter,January,8,False,Sunday,False,Sunny,4.1000000000000005,4.545,0,10,10,0.0,0.09545000000000001,19.0012
194,195,2011-01-09,Winter,January,9,False,Sunday,False,Sunny,4.92,3.7900000000000005,0,19,19,0.0,0.0979,35.0008
195,196,2011-01-09,Winter,January,10,False,Sunday,False,Sunny,5.74,5.305,0,49,49,0.0,0.12305,26.0027
196,197,2011-01-09,Winter,January,11,False,Sunday,False,Sunny,6.5600000000000005,6.0600000000000005,2,47,49,0.04081632653061224,0.1406,35.0008
197,198,2011-01-09,Winter,January,12,False,Sunday,False,Sunny,7.38,6.819999999999999,4,79,83,0.04819277108433735,0.1582,30.002599999999997
198,199,2011-01-09,Winter,January,13,False,Sunday,False,Sunny,8.200000000000001,8.334999999999999,6,69,75,0.08,0.18335,30.002599999999997
